Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status,Network_Stability_Index,Latency_Sensitivity_Score
01-01-2025,00:00:00,39,Idle,74.138,3.501,8.612,10.651,0.208,7.751,477.657,0.345,14.965,Low,87.269,40.99708179555403
01-01-2025,00:01:00,29,Active,84.265,3.356,2.269,29.112,2.228,4.989,398.175,0.77,7.678,Low,48.608000000000004,13.223133634431457
01-01-2025,00:02:00,15,Active,44.28,2.08,6.144,18.357,1.639,0.457,108.075,0.987,8.198,Low,65.253,5.583251536911712
01-01-2025,00:03:00,43,Active,40.569,0.298,4.068,29.154,1.161,4.583,329.579,0.983,2.741,Medium,59.236,10.92986005173443
01-01-2025,00:04:00,8,Idle,75.064,0.346,6.226,34.029,4.797,2.288,159.114,0.573,12.101,Low,18.001000000000005,4.542350623768877
01-01-2025,00:05:00,21,Active,80.96,1.386,9.868,48.399,0.575,4.721,147.688,0.897,0.041,Low,45.851,2.9896961476952972
01-01-2025,00:06:00,39,Active,76.435,4.815,2.617,23.517,2.089,4.895,222.975,0.221,9.032,Low,55.593,9.094709793204714
01-01-2025,00:07:00,19,Active,37.67,4.437,7.659,35.451,3.258,4.236,241.457,0.912,0.738,Medium,31.968999999999994,6.624152972483608
01-01-2025,00:08:00,23,Active,75.547,3.128,2.679,43.648,2.884,7.552,148.458,0.501,11.446,Low,27.512,3.3250761512273783
01-01-2025,00:09:00,11,Active,56.325,0.648,3.402,23.986,0.564,6.336,281.258,0.805,3.688,Medium,70.374,11.256623709277195
01-01-2025,00:10:00,11,Active,66.551,1.61,2.613,1.609,4.328,8.739,142.85,0.27,14.122,Low,55.111,54.75277884246837
01-01-2025,00:11:00,24,Active,54.136,0.864,6.757,46.548,0.913,3.09,438.301,0.388,6.988,Low,44.321999999999996,9.218074366955497
01-01-2025,00:12:00,36,Active,30.807,4.331,2.403,35.077,1.635,5.256,66.025,0.213,4.37,Low,48.573,1.830113368628212
01-01-2025,00:13:00,40,Active,89.775,4.376,5.278,24.485,1.843,5.594,172.273,0.829,3.453,Low,57.085,6.759780262899745
01-01-2025,00:14:00,24,Active,40.551,1.52,5.848,8.266,3.474,3.383,384.275,0.657,0.766,Medium,56.994,41.471508741636086
01-01-2025,00:15:00,3,Active,70.397,3.385,2.628,15.413,2.319,2.787,489.49,0.101,5.275,Low,61.397000000000006,29.82331079022726
01-01-2025,00:16:00,22,Active,43.298,0.601,4.401,1.998,3.627,8.022,346.866,0.734,12.559,Low,61.732000000000006,115.6991327551701
01-01-2025,00:17:00,2,Active,32.225,3.92,5.971,49.16,4.788,2.556,267.614,0.323,3.638,Medium,2.960000000000008,5.335207336523126
01-01-2025,00:18:00,24,Active,89.329,2.134,5.479,41.284,3.917,4.682,420.447,0.678,0.866,High,19.545999999999992,9.943406489452276
01-01-2025,00:19:00,44,Active,30.387,1.104,3.97,24.176,2.433,7.159,58.407,0.979,5.366,Low,51.494,2.3199475691134412
01-01-2025,00:20:00,30,Active,67.059,2.256,1.929,15.513,0.164,4.81,168.54,0.903,2.221,Low,82.84700000000001,10.206503966571793
01-01-2025,00:21:00,38,Active,74.395,1.942,2.695,21.857,1.598,8.859,66.484,0.168,10.713,Low,62.163,2.9086931793323707
01-01-2025,00:22:00,2,Active,63.941,3.201,9.011,14.916,2.807,4.901,258.687,0.092,10.739,Low,57.013999999999996,16.253267152550894
01-01-2025,00:23:00,21,Idle,76.113,2.043,5.868,35.633,1.456,0.143,256.098,0.951,6.061,Low,49.806999999999995,6.990909835394317
01-01-2025,00:24:00,33,Active,40.238,2.503,4.575,22.979,0.602,6.7,157.284,0.191,12.468,Low,71.001,6.559239334417615
01-01-2025,00:25:00,12,Idle,31.429,3.016,7.275,36.291,0.914,3.635,498.303,0.028,4.025,Medium,54.569,13.36255396744523
01-01-2025,00:26:00,22,Idle,62.094,4.36,5.061,12.403,1.926,9.748,199.691,0.716,5.495,Low,68.337,14.898977840781914
01-01-2025,00:27:00,44,Active,56.035,3.79,8.39,28.11,3.943,1.544,279.401,0.889,1.17,Medium,32.459999999999994,9.598110614908967
01-01-2025,00:28:00,25,Active,76.011,0.774,2.864,44.295,3.646,9.728,146.633,0.681,8.493,Low,19.245000000000005,3.23728888398278
01-01-2025,00:29:00,49,Active,33.65,1.874,3.436,20.764,2.053,8.094,190.565,0.304,4.886,Low,58.706,8.755973166697299
01-01-2025,00:30:00,27,Maintenance,33.216,4.545,4.411,29.125,2.93,8.794,478.513,0.746,9.612,Low,41.574999999999996,15.884248962655601
01-01-2025,00:31:00,42,Active,50.157,3.567,8.118,1.48,2.538,3.022,175.117,0.957,13.559,Low,73.14,70.6116935483871
01-01-2025,00:32:00,28,Active,77.445,1.552,9.26,20.429,2.756,3.533,465.304,0.243,0.508,High,52.01100000000001,21.713752391618833
01-01-2025,00:33:00,16,Active,58.123,0.515,6.557,47.929,0.604,1.337,74.995,0.842,7.667,Low,46.031,1.532731100165546
01-01-2025,00:34:00,15,Idle,77.219,4.707,4.951,8.398,0.289,9.24,309.312,0.19,2.897,Medium,88.712,32.91253458182592
01-01-2025,00:35:00,47,Active,68.355,3.587,7.489,2.454,0.549,4.081,445.248,0.042,4.993,Medium,92.056,128.9079328314997
01-01-2025,00:36:00,44,Active,55.736,4.504,5.722,29.639,1.714,8.067,264.548,0.857,8.654,Low,53.221000000000004,8.63435490714449
01-01-2025,00:37:00,3,Active,80.087,1.03,7.618,48.554,0.886,4.754,454.494,0.547,5.803,Low,42.586,9.171691488073616
01-01-2025,00:38:00,37,Idle,69.964,2.41,7.521,38.475,3.002,5.936,477.243,0.766,0.833,High,31.504999999999995,12.089753008233059
01-01-2025,00:39:00,7,Active,55.209,4.982,2.975,29.619,1.283,0.97,62.928,0.131,7.615,Low,57.551,2.0551944870831838
01-01-2025,00:40:00,21,Active,36.698,1.405,5.671,22.456,0.811,4.22,459.908,0.442,14.407,Low,69.434,19.607264665757164
01-01-2025,00:41:00,9,Idle,51.976,4.494,2.93,48.645,4.858,8.657,241.375,0.906,4.086,Medium,2.7750000000000057,4.862020344445563
01-01-2025,00:42:00,39,Active,33.527,3.885,4.431,29.156,3.353,3.58,135.155,0.033,14.77,Low,37.314,4.481860989521157
01-01-2025,00:43:00,18,Active,58.998,1.017,6.142,3.303,2.401,7.124,428.221,0.141,7.843,Low,72.687,99.51684871020218
01-01-2025,00:44:00,4,Active,33.289,3.078,9.048,4.597,1.526,1.714,288.663,0.379,9.67,Low,80.143,51.574593532249416
01-01-2025,00:45:00,25,Active,76.224,3.132,1.588,33.577,0.073,9.841,373.034,0.204,9.417,Low,65.69300000000001,10.788501026694046
